GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
EEA1	GPT	0	ref_100random	1.170693	0.460212	0	0.141	0.23	0.718	0.0	0.716	0.492	0.123711	0.697359	0.697359	0	0.0	0.0	0.0	0.12	6.52E-4	8.91E-4	0.5247	0.0
CSNK1D	MRPS7	0	ref_100random	0.785877	0.30666	1	0.268	0.206	0.462	0.0	1.008	0.892	0.032614	0.994402	0.989419	0	0.0	0.0	0.0	0.0	7.75E-4	0.0011	0.2506	0.0
APOA1	GGNBP2	0	ref_100random	0.4938527	0.17992626	0	0.0	0.0	0.363	0.0	0.593	0.053	0.052784	1.048668	0.951191	0	0.0	0.0	0.0	0.096023634	0.005868693	0.010051799	0.5815	0.55
GBP4	RAP1GAP2	0	ref_100random	0.33635172	0.11593322	0	1.0	0.099	0.62	0.0	0.55942696	0.27611893	0.155902	0.955939	0.955939	0	0.0	0.0	0.0	0.0	1.8E-4	1.92E-4	0.5603	0.0
HPS1	LCT	0	ref_100random	0.824481	0.506608	0	0.148	0.123	0.311	0.0	0.583	0.405	0.166681	0.064256	0.064254	0	0.0	0.0	0.0	0.1111	9.0E-6	0.0	0.5335	0.342
ZNF324	CDKN2AIP	0	ref_100random	0.361766	0.14263876	0	0.214	0.0	0.0	0.0	0.717	0.443	0.09507	1.461177	0.513326	0	0.0	0.0	0.0	0.4118	2.32E-4	3.96E-4	0.2244	0.0
SRPK1	ZMYM6NB	0	ref_100random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
SHCBP1	NEURL2	0	ref_100random	0.207998	0.008843	0	0.14	0.108	0.0	0.0	0.439	0.135	0.095715	0.002626	0.002615	0	0.0	0.0	0.0	0.0	2.2E-5	3.0E-5	0.603	0.0
ICA1	DLX4	0	ref_100random	0.299729	0.084703	0	0.518	0.0	0.91	0.0	0.846	0.57	0.073898	0.010148	2.47E-4	0	0.0	0.0	0.0	0.0526	3.2E-5	4.8E-5	0.4878	0.0
RTN3	ZNF853	0	ref_100random	0.21598592	0.036468912	0	0.214	0.0	0.0	0.0	0.31600514	0.14103566	0.138625	0.040982	0.039064	0	0.0	2.093027E-4	0.0	0.4737	3.06E-4	5.29E-4	0.5926	0.0
ECHS1	BORA	0	ref_100random	0.4125849	0.18478012	0	0.69	0.115	0.6	0.0	0.57701033	0.32183862	0.052784	0.520494	0.519108	0	0.0	0.0	0.0	0.0	0.00321	0.005689	0.6257	0.0
ZSCAN10	ALG8	0	ref_100random	0.277907	0.067787	0	0.222	0.179	0.472	0.0	0.767	0.007	0.085139	0.006076	0.006056	0	0.0	0.0014466187	0.0	0.0	1.4E-5	7.0E-6	0.537	0.0
DRG1	SCGN	0	ref_100random	0.223756	0.001503	0	0.634	0.158	0.734	0.0	0.768	0.652	0.099741	0.98939	0.917498	0	0.0	0.0	0.0	0.0	0.001316	0.002209	0.4155	0.291
CCL17	NAP1L2	0	ref_100random	0.33883	0.139726	0	1.0	0.0	0.0	0.0	0.548	0.41	0.109005	0.868784	0.714534	0	0.0	0.0	0.0	0.0	5.2E-5	5.6E-5	0.5678	0.0
PTP4A3	PTPRB	0	ref_100random	0.360299	0.081417	1	0.748	0.135	0.338	0.0	0.431	0.033	0.052784	1.071173	0.815833	0	0.0	0.0	0.3333	0.1429	2.4E-5	2.0E-5	0.5121	0.575
ZBTB17	PPP4R1	0	ref_100random	0.254755	0.036933	1	0.412	0.422	0.318	0.0	1.072	0.72	0.054895	1.996723	3.92E-4	0	0.0	0.0	0.0	0.3889	9.3E-5	1.42E-4	0.3693	0.0
FKTN	SEC14L3	0	ref_100random	0.509083	0.269707	1	0.12430003	0.103669375	0.24778734	0.0	0.377	0.219	0.26945	1.92E-4	1.92E-4	0	0.0	0.0	0.0	0.1429	1.9E-5	2.4E-5	0.5945	0.041191608
AGRP	PYHIN1	0	ref_100random	0.414503	0.291673	1	0.392	0.204	0.455	0.0	0.747	0.675	0.072348	0.091304	0.08947	0	0.0	0.0	0.0	0.0833	7.0E-5	6.8E-5	0.5621	0.147
CFHR3	TMC8	0	ref_100random	0.2790791	0.077387355	0	0.2108976	0.13095139	0.2979634	0.0	0.165	0.013	0.147795	1.2E-5	1.2E-5	0	0.0	0.0	0.0	0.0	0.003224	0.005715	0.4418	0.02089867
SELT	MGAT1	0	ref_100random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
